Freq.	-V(reflectedwaveover20)/V(minusincidentwaveover20)
8.08920892089215e+08	5.09879651359558e-02,-9.93074208929778e-01
8.08960896089615e+08	4.89074162073739e-02,-9.93189324185110e-01
8.09000900090015e+08	4.68266306634515e-02,-9.93300080357218e-01
8.09040904090415e+08	4.47456176390492e-02,-9.93406476959913e-01
8.09080908090815e+08	4.26643862698467e-02,-9.93508513526031e-01
8.09120912091215e+08	4.05829456926057e-02,-9.93606189607630e-01
8.09160916091615e+08	3.85013050449536e-02,-9.93699504775905e-01
8.09200920092015e+08	3.64194734654198e-02,-9.93788458621204e-01
8.09240924092415e+08	3.43374600933511e-02,-9.93873050753029e-01
8.09280928092815e+08	3.22552740688829e-02,-9.93953280800028e-01
8.09320932093215e+08	3.01729245329340e-02,-9.94029148410042e-01
8.09360936093616e+08	2.80904206271582e-02,-9.94100653250069e-01
8.09400940094016e+08	2.60077714938351e-02,-9.94167795006250e-01
8.09440944094416e+08	2.39249862759464e-02,-9.94230573383917e-01
8.09480948094816e+08	2.18420741170139e-02,-9.94288988107566e-01
8.09520952095216e+08	1.97590441611224e-02,-9.94343038920815e-01
8.09560956095616e+08	1.76759055529009e-02,-9.94392725586511e-01
8.09600960096016e+08	1.55926674374161e-02,-9.94438047886618e-01
8.09640964096416e+08	1.35093389602548e-02,-9.94479005622348e-01
8.09680968096816e+08	1.14259292672978e-02,-9.94515598614001e-01
8.09720972097216e+08	9.34244750484725e-03,-9.94547826701105e-01
8.09760976097616e+08	7.25890281949003e-03,-9.94575689742341e-01
8.09800980098016e+08	5.17530435809293e-03,-9.94599187615546e-01
8.09840984098416e+08	3.09166126775256e-03,-9.94618320217753e-01
8.09880988098816e+08	1.00798269581372e-03,-9.94633087465189e-01
8.09920992099216e+08	-1.07572221031463e-03,-9.94643489293215e-01
8.09960996099617e+08	-3.15944430303669e-03,-9.94649525656393e-01
8.10001000100017e+08	-5.24317443471522e-03,-9.94651196528458e-01
8.10041004100417e+08	-7.32690345764888e-03,-9.94648501902329e-01
8.10081008100817e+08	-9.41062222419015e-03,-9.94641441790074e-01
8.10121012101217e+08	-1.14943215866810e-02,-9.94630016222966e-01
8.10161016101617e+08	-1.35779923976115e-02,-9.94614225251437e-01
