Freq.	S11(v1)	S21(v1)
4.65465473913914e+07	-2.85363499383197e-01,-1.52738505029755e-01	4.36214296643122e-01,-8.39597976200181e-01
4.68468476906907e+07	-2.85892340204496e-01,-1.50537970903354e-01	4.30448055447275e-01,-8.42785400373645e-01
4.71471479899900e+07	-2.86364106479799e-01,-1.48312291577932e-01	4.24652899891011e-01,-8.45953700791273e-01
4.74474482892893e+07	-2.86778014491623e-01,-1.46062136692867e-01	4.18828217323718e-01,-8.49102848588817e-01
4.77477485885886e+07	-2.87133276093858e-01,-1.43788190750581e-01	4.12973380378401e-01,-8.52232795147083e-01
4.80480488878879e+07	-2.87429098666665e-01,-1.41491153677208e-01	4.07087747133222e-01,-8.55343471432733e-01
4.83483491871872e+07	-2.87664685087004e-01,-1.39171741403529e-01	4.01170661286874e-01,-8.58434787323851e-01
4.86486494864865e+07	-2.87839233715803e-01,-1.36830686466351e-01	3.95221452348733e-01,-8.61506630919930e-01
4.89489497857858e+07	-2.87951938402837e-01,-1.34468738630540e-01	3.89239435844769e-01,-8.64558867835931e-01
4.92492500850851e+07	-2.88001988510424e-01,-1.32086665531837e-01	3.83223913540294e-01,-8.67591340480106e-01
4.95495503843844e+07	-2.87988568957089e-01,-1.29685253340623e-01	3.77174173680621e-01,-8.70603867315284e-01
4.98498506836837e+07	-2.87910860282411e-01,-1.27265307446739e-01	3.71089491250833e-01,-8.73596242103362e-01
5.01501509829830e+07	-2.87768038734316e-01,-1.24827653165455e-01	3.64969128255848e-01,-8.76568233132752e-01
5.04504512822823e+07	-2.87559276380128e-01,-1.22373136464636e-01	3.58812334022082e-01,-8.79519582428578e-01
5.07507515815816e+07	-2.87283741242751e-01,-1.19902624713151e-01	3.52618345522056e-01,-8.82450004945450e-01
5.10510518808809e+07	-2.86940597463416e-01,-1.17417007450494e-01	3.46386387723330e-01,-8.85359187742680e-01
5.13513521801802e+07	-2.86529005492480e-01,-1.14917197177581e-01	3.40115673963273e-01,-8.88246789141860e-01
5.16516524794795e+07	-2.86048122309830e-01,-1.12404130168612e-01	3.33805406351161e-01,-8.91112437866729e-01
5.19519527787788e+07	-2.85497101676509e-01,-1.09878767303860e-01	3.27454776199251e-01,-8.93955732165376e-01
5.22522530780781e+07	-2.84875094419229e-01,-1.07342094923186e-01	3.21062964484478e-01,-8.96776238914813e-01
5.25525533773774e+07	-2.84181248749534e-01,-1.04795125700008e-01	3.14629142342523e-01,-8.99573492708055e-01
5.28528536766767e+07	-2.83414710619401e-01,-1.02238899535408e-01	3.08152471596079e-01,-9.02346994923904e-01
5.31531539759760e+07	-2.82574624115170e-01,-9.96744844719827e-02	3.01632105319185e-01,-9.05096212779707e-01
5.34534542752753e+07	-2.81660131891739e-01,-9.71029776269481e-02	2.95067188439602e-01,-9.07820578367418e-01
5.37537545745746e+07	-2.80670375649035e-01,-9.45255061439583e-02	2.88456858381249e-01,-9.10519487673413e-01
5.40540548738739e+07	-2.79604496652846e-01,-9.19432281629828e-02	2.81800245748807e-01,-9.13192299582588e-01
5.43543551731732e+07	-2.78461636302150e-01,-8.93573338074968e-02	2.75096475056680e-01,-9.15838334867337e-01
5.46546554724725e+07	-2.77240936745171e-01,-8.67690461881400e-02	2.68344665504534e-01,-9.18456875162182e-01
5.49549557717718e+07	-2.75941541546431e-01,-8.41796224218777e-02	2.61543931801765e-01,-9.21047161924877e-01
