Freq.	S11(v1)	S21(v1)
7.61261261261255e+07	3.74156605295599e-02,-2.70147944036535e-02	-3.70638512375240e-01,-9.27598252100494e-01
7.61861861861856e+07	3.87896823605687e-02,-2.76967390358572e-02	-3.72745589692584e-01,-9.26676900801467e-01
7.62462462462456e+07	4.01637079488038e-02,-2.83864575476941e-02	-3.74851820719870e-01,-9.25747399290479e-01
7.63063063063057e+07	4.15376913019421e-02,-2.90839669354949e-02	-3.76957160147474e-01,-9.24809731366284e-01
7.63663663663657e+07	4.29115861598341e-02,-2.97892839039408e-02	-3.79061562391360e-01,-9.23863881115998e-01
7.64264264264258e+07	4.42853459961650e-02,-3.05024248623896e-02	-3.81164981594721e-01,-9.22909832918854e-01
7.64864864864858e+07	4.56589240201690e-02,-3.12234059212098e-02	-3.83267371629676e-01,-9.21947571449944e-01
7.65465465465459e+07	4.70322731783888e-02,-3.19522428881118e-02	-3.85368686099009e-01,-9.20977081683964e-01
7.66066066066059e+07	4.84053461564846e-02,-3.26889512644845e-02	-3.87468878337961e-01,-9.19998348898964e-01
7.66666666666660e+07	4.97780953810998e-02,-3.34335462417327e-02	-3.89567901416081e-01,-9.19011358680083e-01
7.67267267267261e+07	5.11504730217673e-02,-3.41860426976208e-02	-3.91665708139114e-01,-9.18016096923289e-01
7.67867867867861e+07	5.25224309928793e-02,-3.49464551926212e-02	-3.93762251050957e-01,-9.17012549839110e-01
7.68468468468462e+07	5.38939209556930e-02,-3.57147979662649e-02	-3.95857482435648e-01,-9.16000703956365e-01
7.69069069069062e+07	5.52648943203997e-02,-3.64910849335001e-02	-3.97951354319425e-01,-9.14980546125885e-01
7.69669669669663e+07	5.66353022482406e-02,-3.72753296810620e-02	-4.00043818472826e-01,-9.13952063524226e-01
7.70270270270263e+07	5.80050956536722e-02,-3.80675454638402e-02	-4.02134826412844e-01,-9.12915243657385e-01
7.70870870870864e+07	5.93742252065863e-02,-3.88677452012632e-02	-4.04224329405135e-01,-9.11870074364494e-01
7.71471471471464e+07	6.07426413345804e-02,-3.96759414736885e-02	-4.06312278466279e-01,-9.10816543821516e-01
7.72072072072065e+07	6.21102942252820e-02,-4.04921465188018e-02	-4.08398624366092e-01,-9.09754640544927e-01
7.72672672672665e+07	6.34771338287206e-02,-4.13163722280265e-02	-4.10483317629995e-01,-9.08684353395388e-01
7.73273273273266e+07	6.48431098597566e-02,-4.21486301429481e-02	-4.12566308541430e-01,-9.07605671581410e-01
7.73873873873866e+07	6.62081718005616e-02,-4.29889314517441e-02	-4.14647547144335e-01,-9.06518584663000e-01
7.74474474474467e+07	6.75722689031493e-02,-4.38372869856338e-02	-4.16726983245669e-01,-9.05423082555302e-01
7.75075075075068e+07	6.89353501919592e-02,-4.46937072153361e-02	-4.18804566417991e-01,-9.04319155532221e-01
7.75675675675668e+07	7.02973644664964e-02,-4.55582022475435e-02	-4.20880246002095e-01,-9.03206794230033e-01
7.76276276276269e+07	7.16582603040194e-02,-4.64307818214136e-02	-4.22953971109695e-01,-9.02085989650980e-01
7.76876876876869e+07	7.30179860622835e-02,-4.73114553050706e-02	-4.25025690626164e-01,-9.00956733166851e-01
7.77477477477470e+07	7.43764898823378e-02,-4.82002316921317e-02	-4.27095353213333e-01,-8.99819016522546e-01
7.78078078078070e+07	7.57337196913710e-02,-4.90971195982421e-02	-4.29162907312334e-01,-8.98672831839621e-01
7.78678678678671e+07	7.70896232056155e-02,-5.00021272576358e-02	-4.31228301146504e-01,-8.97518171619818e-01
7.79279279279271e+07	7.84441479333031e-02,-5.09152625197119e-02	-4.33291482724343e-01,-8.96355028748570e-01
7.79879879879872e+07	7.97972411776666e-02,-5.18365328456289e-02	-4.35352399842518e-01,-8.95183396498500e-01
7.80480480480472e+07	8.11488500400075e-02,-5.27659453049268e-02	-4.37411000088932e-01,-8.94003268532875e-01
7.81081081081073e+07	8.24989214228038e-02,-5.37035065721624e-02	-4.39467230845841e-01,-8.92814638909070e-01
7.81681681681674e+07	8.38474020328799e-02,-5.46492229235724e-02	-4.41521039293022e-01,-8.91617502081979e-01
7.82282282282274e+07	8.51942383846225e-02,-5.56031002337588e-02	-4.43572372411002e-01,-8.90411852907428e-01
7.82882882882875e+07	8.65393768032567e-02,-5.65651439723989e-02	-4.45621176984334e-01,-8.89197686645543e-01
7.83483483483475e+07	8.78827634281654e-02,-5.75353592009760e-02	-4.47667399604932e-01,-8.87974998964113e-01
7.84084084084076e+07	8.92243442162686e-02,-5.85137505695421e-02	-4.49710986675453e-01,-8.86743785941910e-01
