Freq.	S11(v1)	S21(v1)
1.86186186279980e+07	-8.21366152282834e-02,-1.92768396302469e-01	8.61499269026384e-01,-4.31316343575152e-01
1.89189189282883e+07	-8.47871650045643e-02,-1.94631757559997e-01	8.57787114291173e-01,-4.37241072299440e-01
1.92192192285786e+07	-8.74544327336451e-02,-1.96443771849857e-01	8.54036176536846e-01,-4.43124578564298e-01
1.95195195288689e+07	-9.01374431262909e-02,-1.98204201210630e-01	8.50247171556154e-01,-4.48966772129631e-01
1.98198198291592e+07	-9.28352211285093e-02,-1.99912826088881e-01	8.46420809323379e-01,-4.54767580290406e-01
2.01201201294494e+07	-9.55467922967862e-02,-2.01569445113996e-01	8.42557793537917e-01,-4.60526947611654e-01
2.04204204297397e+07	-9.82711831602594e-02,-2.03173874864245e-01	8.38658821178864e-01,-4.66244835652846e-01
2.07207207300300e+07	-1.01007421569687e-01,-2.04725949624905e-01	8.34724582070800e-01,-4.71921222682390e-01
2.10210210303203e+07	-1.03754537033146e-01,-2.06225521138886e-01	8.30755758460790e-01,-4.77556103382647e-01
2.13213213306106e+07	-1.06511561038059e-01,-2.07672458350536e-01	8.26753024606973e-01,-4.83149488546002e-01
2.16216216309009e+07	-1.09277527359815e-01,-2.09066647143053e-01	8.22717046378449e-01,-4.88701404762395e-01
2.19219219311912e+07	-1.12051472356553e-01,-2.10407990070395e-01	8.18648480866926e-01,-4.94211894099054e-01
2.22222222314815e+07	-1.14832435250291e-01,-2.11696406083773e-01	8.14547976009818e-01,-4.99681013772484e-01
2.25225225317718e+07	-1.17619458394071e-01,-2.12931830253670e-01	8.10416170225175e-01,-5.05108835813482e-01
2.28228228320621e+07	-1.20411587525587e-01,-2.14114213487972e-01	8.06253692058011e-01,-5.10495446725787e-01
2.31231231323524e+07	-1.23207872006626e-01,-2.15243522246289e-01	8.02061159838484e-01,-5.15840947138191e-01
2.34234234326426e+07	-1.26007365049110e-01,-2.16319738251748e-01	7.97839181351416e-01,-5.21145451451470e-01
2.37237237329329e+07	-1.28809123926934e-01,-2.17342858200003e-01	7.93588353517608e-01,-5.26409087479564e-01
2.40240240332232e+07	-1.31612210174374e-01,-2.18312893466632e-01	7.89309262086441e-01,-5.31631996086262e-01
2.43243243335135e+07	-1.34415689770805e-01,-2.19229869813069e-01	7.85002481339836e-01,-5.36814330817320e-01
2.46246246338038e+07	-1.37218633311704e-01,-2.20093827091740e-01	7.80668573807652e-01,-5.41956257528552e-01
2.49249249340941e+07	-1.40020116166375e-01,-2.20904818950803e-01	7.76308089994045e-01,-5.47057954010274e-01
2.52252252343844e+07	-1.42819218622192e-01,-2.21662912539096e-01	7.71921568114995e-01,-5.52119609608449e-01
2.55255255346747e+07	-1.45615026015680e-01,-2.22368188211708e-01	7.67509533846663e-01,-5.57141424842923e-01
2.58258258349650e+07	-1.48406628850562e-01,-2.23020739236619e-01	7.63072500084437e-01,-5.62123611023032e-01
2.61261261352553e+07	-1.51193122902794e-01,-2.23620671502894e-01	7.58610966712615e-01,-5.67066389860904e-01
2.64264264355455e+07	-1.53973609312921e-01,-2.24168103230984e-01	7.54125420384458e-01,-5.71969993082891e-01
2.67267267358358e+07	-1.56747194665878e-01,-2.24663164685341e-01	7.49616334312374e-01,-5.76834662039216e-01
2.70270270361261e+07	-1.59512991058406e-01,-2.25105997890020e-01	7.45084168068163e-01,-5.81660647312312e-01
2.73273273364164e+07	-1.62270116154109e-01,-2.25496756347443e-01	7.40529367393177e-01,-5.86448208323847e-01
2.76276276367067e+07	-1.65017693227040e-01,-2.25835604761080e-01	7.35952364017720e-01,-5.91197612941219e-01
2.79279279369970e+07	-1.67754851192906e-01,-2.26122718761995e-01	7.31353575490290e-01,-5.95909137082971e-01
2.82282282372873e+07	-1.70480724629291e-01,-2.26358284639952e-01	7.26733405015550e-01,-6.00583064324013e-01
2.85285285375776e+07	-1.73194453784256e-01,-2.26542499079469e-01	7.22092241301553e-01,-6.05219685500560e-01
2.88288288378679e+07	-1.75895184574026e-01,-2.26675568900859e-01	7.17430458415456e-01,-6.09819298314853e-01
2.91291291381582e+07	-1.78582068569989e-01,-2.26757710807084e-01	7.12748415647723e-01,-6.14382206940222e-01
2.94294294384484e+07	-1.81254262974957e-01,-2.26789151136378e-01	7.08046457384652e-01,-6.18908721626212e-01
2.97297297387387e+07	-1.83910930589221e-01,-2.26770125621033e-01	7.03324912988806e-01,-6.23399158304033e-01
3.00300300390290e+07	-1.86551239766760e-01,-2.26700879152950e-01	6.98584096687121e-01,-6.27853838192756e-01
3.03303303393193e+07	-1.89174364361363e-01,-2.26581665555860e-01	6.93824307466741e-01,-6.32273087405797e-01
3.06306306396096e+07	-1.91779483663651e-01,-2.26412747364821e-01	6.89045828977833e-01,-6.36657236558300e-01
3.09309309398999e+07	-1.94365782328608e-01,-2.26194395613132e-01	6.84248929443663e-01,-6.41006620375124e-01
3.12312312401902e+07	-1.96932450294372e-01,-2.25926889627046e-01	6.79433861577331e-01,-6.45321577299719e-01
3.15315315404805e+07	-1.99478682692345e-01,-2.25610516828434e-01	6.74600862505074e-01,-6.49602449103767e-01
3.18318318407708e+07	-2.02003679749033e-01,-2.25245572545835e-01	6.69750153695852e-01,-6.53849580497778e-01
3.21321321410611e+07	-2.04506646679553e-01,-2.24832359833937e-01	6.64881940897210e-01,-6.58063318742339e-01
3.24324324413514e+07	-2.06986793573741e-01,-2.24371189301989e-01	6.59996414076745e-01,-6.62244013260462e-01
3.27327327416416e+07	-2.09443335274546e-01,-2.23862378951188e-01	6.55093747369392e-01,-6.66392015250600e-01
3.30330330419319e+07	-2.11875491249370e-01,-2.23306254021383e-01	6.50174099030031e-01,-6.70507677300529e-01
3.33333333422222e+07	-2.14282485454367e-01,-2.22703146847315e-01	6.45237611391454e-01,-6.74591353001901e-01
3.36336336425125e+07	-2.16663546192420e-01,-2.22053396724577e-01	6.40284410827124e-01,-6.78643396565564e-01
3.39339339428028e+07	-2.19017905964472e-01,-2.21357349785599e-01	6.35314607719046e-01,-6.82664162437347e-01
3.42342342430931e+07	-2.21344801315292e-01,-2.20615358885796e-01	6.30328296429941e-01,-6.86654004914499e-01
3.45345345433834e+07	-2.23643472673140e-01,-2.19827783500133e-01	6.25325555280193e-01,-6.90613277762350e-01
3.48348348436737e+07	-2.25913164184427e-01,-2.18994989630305e-01	6.20306446528780e-01,-6.94542333831389e-01
3.51351351439640e+07	-2.28153123543044e-01,-2.18117349722780e-01	6.15271016358543e-01,-6.98441524674393e-01
3.54354354442543e+07	-2.30362601815013e-01,-2.17195242597772e-01	6.10219294865313e-01,-7.02311200163522e-01
3.57357357445446e+07	-2.32540853258791e-01,-2.16229053389593e-01	6.05151296050831e-01,-7.06151708107387e-01
3.60360360448349e+07	-2.34687135141261e-01,-2.15219173498255e-01	6.00067017819419e-01,-7.09963393867582e-01
3.63363363451252e+07	-2.36800707549971e-01,-2.14166000552844e-01	5.94966441978219e-01,-7.13746599974831e-01
3.66366366454155e+07	-2.38880833201994e-01,-2.13069938386623e-01	5.89849534240757e-01,-7.17501665744415e-01
3.69369369457057e+07	-2.40926777249349e-01,-2.11931397024153e-01	5.84716244234061e-01,-7.21228926890570e-01
3.72372372459960e+07	-2.42937807081797e-01,-2.10750792680623e-01	5.79566505508864e-01,-7.24928715139860e-01
3.75375375462863e+07	-2.44913192126978e-01,-2.09528547773580e-01	5.74400235553126e-01,-7.28601357843131e-01
3.78378378465766e+07	-2.46852203648382e-01,-2.08265090947204e-01	5.69217335808634e-01,-7.32247177585858e-01
3.81381381468669e+07	-2.48754114541434e-01,-2.06960857109395e-01	5.64017691690749e-01,-7.35866491796654e-01
3.84384384471572e+07	-2.50618199128148e-01,-2.05616287481781e-01	5.58801172611131e-01,-7.39459612353679e-01
3.87387387474475e+07	-2.52443732950396e-01,-2.04231829662886e-01	5.53567632003669e-01,-7.43026845188590e-01
3.90390390477378e+07	-2.54229992562630e-01,-2.02807937704699e-01	5.48316907353306e-01,-7.46568489887993e-01
3.93393393480281e+07	-2.55976255323948e-01,-2.01345072202658e-01	5.43048820228022e-01,-7.50084839291784e-01
3.96396396483184e+07	-2.57681799190045e-01,-1.99843700399525e-01	5.37763176314007e-01,-7.53576179088352e-01
3.99399399486087e+07	-2.59345902505633e-01,-1.98304296303040e-01	5.32459765453818e-01,-7.57042787406235e-01
4.02402402488990e+07	-2.60967843797336e-01,-1.96727340817798e-01	5.27138361687942e-01,-7.60484934401909e-01
4.05405405491893e+07	-2.62546901567696e-01,-1.95113321891418e-01	5.21798723299650e-01,-7.63902881843403e-01
4.08408408494796e+07	-2.64082354090568e-01,-1.93462734675269e-01	5.16440592863351e-01,-7.67296882689421e-01
4.11411411497699e+07	-2.65573479208723e-01,-1.91776081699820e-01	5.11063697296264e-01,-7.70667180663742e-01
4.14414414500602e+07	-2.67019554133100e-01,-1.90053873065128e-01	5.05667747914355e-01,-7.74014009824262e-01
4.17417417503505e+07	-2.68419855245501e-01,-1.88296626646220e-01	5.00252440491595e-01,-7.77337594126737e-01
4.20420420506407e+07	-2.69773657903961e-01,-1.86504868314034e-01	4.94817455323785e-01,-7.80638146982555e-01
4.23423423509310e+07	-2.71080236252019e-01,-1.84679132171800e-01	4.89362457296494e-01,-7.83915870810348e-01
4.26426426512213e+07	-2.72338863031983e-01,-1.82819960807234e-01	4.83887095957694e-01,-7.87170956581009e-01
4.29429429515116e+07	-2.73548809402982e-01,-1.80927905560715e-01	4.78391005595176e-01,-7.90403583355863e-01
4.32432432518019e+07	-2.74709344764015e-01,-1.79003526809621e-01	4.72873805319188e-01,-7.93613917817464e-01
4.35435435520922e+07	-2.75819736582776e-01,-1.77047394269147e-01	4.67335099150572e-01,-7.96802113792836e-01
4.38438438523825e+07	-2.76879250230635e-01,-1.75060087309679e-01	4.61774476114739e-01,-7.99968311768608e-01
4.41441441526728e+07	-2.77887148824575e-01,-1.73042195291002e-01	4.56191510341812e-01,-8.03112638397864e-01
4.44444444529631e+07	-2.78842693076301e-01,-1.70994317913652e-01	4.50585761173607e-01,-8.06235205998163e-01
4.47447447532534e+07	-2.79745141149686e-01,-1.68917065587380e-01	4.44956773277462e-01,-8.09336112040531e-01
4.50450450535437e+07	-2.80593748526604e-01,-1.66811059817203e-01	4.39304076767873e-01,-8.12415438628897e-01
4.53453453538340e+07	-2.81387767882310e-01,-1.64676933607069e-01	4.33627187336090e-01,-8.15473251969769e-01
4.56456456541243e+07	-2.82126448970775e-01,-1.62515331881427e-01	4.27925606388419e-01,-8.18509601831684e-01
4.59459459544146e+07	-2.82809038520907e-01,-1.60326911924782e-01	4.22198821193655e-01,-8.21524520994148e-01
4.62462462547049e+07	-2.83434780144186e-01,-1.58112343839634e-01	4.16446305040501e-01,-8.24518024685694e-01
4.65465465549952e+07	-2.84002914254726e-01,-1.55872311022742e-01	4.10667517405367e-01,-8.27490110010724e-01
