Hz_real,Hz_imag,Vout_real,Vout_imag
102329299.228075,0,-0.328985556622457,-0.0394671967462034
104712854.80509,0,-0.308842396455156,-0.0131924289323783
107151930.52376,0,-0.287212405518151,0.00866612256669957
109647819.614318,0,-0.26499489646616,0.026327204230301
112201845.430196,0,-0.242912602632432,0.0401672970178788
114815362.149688,0,-0.221506013342191,0.0506478772146102
117489755.493953,0,-0.201148845176028,0.0582577760491953
120226443.461741,0,-0.182074492516104,0.0634727904232715
123026877.081238,0,-0.164405775675046,0.0667308640369704
125892541.179416,0,-0.148183163693329,0.0684194610886183
128824955.169313,0,-0.13338903101385,0.0688715025930228
131825673.85564,0,-0.119967146406536,0.0683667326501168
134896288.259165,0,-0.107837551526962,0.0671361352348335
138038426.460288,0,-0.096907447366865,0.0653677558954988
141253754.462275,0,-0.0870788543222257,0.0632128807684777
