Hz_real,Hz_imag,s_1_1_real,s_1_1_imag,s_2_1_real,s_2_1_imag
86890041.4374687,0,0.486884219190727,0.0175179861003975,-0.399865363835447,-0.299380672825576
88913970.5019461,0,0.522473222714305,-0.0420856726943164,-0.439044111421596,-0.234444062924871
90985042.9304991,0,0.539070894680682,-0.114241492492964,-0.459096413475052,-0.157012196074621
93104356.8331433,0,0.531873460750056,-0.189448664517119,-0.45522252332625,-0.0765881209390606
95273035.8981623,0,0.502382106472134,-0.256903878755915,-0.428927621797601,-0.00397717336502987
97492229.9879022,0,0.457481974430276,-0.309045132751122,-0.387100806267476,0.0532568231456197
99763115.7484439,0,0.405713446129713,-0.343591051584248,-0.33828636530281,0.0928308681458372
102086897.233476,0,0.353981252670029,-0.362400547698952,-0.289392882859928,0.116602434818941
104464806.542702,0,0.306394490612811,-0.369151481714056,-0.244533248422841,0.12824812161984
106898104.475112,0,0.264684672032332,-0.367591923834936,-0.20544270202477,0.131514904628947
109388081.197478,0,0.229097620439735,-0.360757703948552,-0.172370725801111,0.129437678738276
111936056.928417,0,0.19914232389509,-0.350832544503087,-0.144829893346259,0.124199381800208
114543382.638389,0,0.174056553746311,-0.33928038500084,-0.122061485271914,0.117263310592722
117211440.765996,0,0.153047656904248,-0.327037517986103,-0.103276278835655,0.109565248503883
119941645.950974,0,0.135397040466511,-0.314680640160941,-0.0877590304129241,0.101681508585901
122735445.784251,0,0.1204935518679,-0.302551353722638,-0.0749018539521414,0.0939534270864494
125594321.575479,0,0.107834055607231,-0.290841509905657,-0.0642047964259512,0.0865726994509697
128519789.138443,0,0.0970111235542939,-0.279649371450294,-0.0552635272471426,0.0796375355262012
131513399.594769,0,0.0876972895329066,-0.269015745086473,-0.0477535923115592,0.0731887850589099
134576740.196346,0,0.0796299156887925,-0.258946921032171,-0.041415280144751,0.0672328704926301
137711435.166908,0,0.0725981176587844,-0.249429107767837,-0.0360405471386106,0.0617562153250652
140919146.563222,0,0.0664320300723206,-0.240437444982433,-0.0314622833803677,0.0567342509213239
144201575.15633,0,0.060994224300185,-0.231941579387951,-0.0275457309620334,0.052136986477872
147560461.333319,0,0.056172941149428,-0.223909068047473,-0.0241817174440326,0.0479324067789208
150997586.020101,0,0.0518767895661276,-0.216307411641802,-0.0212813555111432,0.0440885001658218
154514771.625679,0,0.0480306027029778,-0.209105226327862,-0.0187719001558003,0.0405744253672269
158113883.008419,0,0.0445721967129489,-0.202272876811372,-0.0165935087296346,0.0373611398062496
161796828.464814,0,0.0414498295981912,-0.195782775460867,-0.014696701173552,0.0344216942047783
165565560.741295,0,0.0386202019200157,-0.189609477561404,-0.0130403622147661,0.0317313235757966
169422078.069601,0,0.0360468771711013,-0.183729655267417,-0.0115901633158892,0.0292674171552606
173368425.226266,0,0.0336990278853739,-0.178122002483903,-0.0103173104368004,0.0270094194945017
177406694.616788,0,0.0315504354066904,-0.172767103505939,-0.00919754551694635,0.0249386955346656
181539027.38505,0,0.0295786879667352,-0.167647285819367,-0.00821034631617041,0.0230383800574133
185767614.548586,0,0.0277645344795723,-0.162746469503656,-0.00733828201032943,0.0212932239441929
190094698.16028,0,0.026091361176187,-0.158050020586645,-0.00656649165487349,0.0196894445850643
194522572.49714,0,0.0245447656073727,-0.153544612460497,-0.0058822600355744,0.018214584537715
199053585.276748,0,0.0231122081986705,-0.149218097423696,-0.00527467108184452,0.0168573804929087
203690138.902056,0,0.0217827258728386,-0.145059389142645,-0.00473432335071091,0.0156076433314302
208434691.735167,0,0.0205466955850613,-0.141058356054409,-0.00425309542002945,0.0144561492857511
213289759.400796,0,0.0193956381856817,-0.137205725281451,-0.00382395159983196,0.0133945417691294
218257916.120083,0,0.018322055016543,-0.133492996383892,-0.00344078036267065,0.0124152431897215
223341796.075481,0,0.0173192911968899,-0.129912364159213,-0.00309825944432261,0.0115113759519364
228544094.807437,0,0.0163814207664427,-0.126456649664289,-0.00279174277844789,0.0106766918124337
233867570.643599,0,0.0155031498047304,-0.123119238648063,-0.00251716538079178,0.00990550877186876
239315046.161319,0,0.0146797343962361,-0.11989402662446,-0.0022709630494812,0.00919265472501614
244889409.684223,0,0.013906910905465,-0.11677536987098,-0.00205000434295418,0.0085334171480235
250593616.813636,0,0.0131808364991022,-0.1137580417005,-0.00185153277052414,0.00792349816388499
256430691.995682,0,0.0124980382304272,-0.11083719341691,-0.00167311750894759,0.00735897439061763
262403730.124886,0,0.0118553693044605,-0.108008319426356,-0.00151261126199868,0.00683626103800003
268515898.185126,0,0.0112499713866683,-0.105267226033196,-0.00136811412471301,0.00635207977636767
274770436.928812,0,0.0106792420157147,-0.102610003502582,-0.0012379425118862,0.00590342995399938
281170662.595174,0,0.0101408063412323,-0.100033001019453,-0.00112060237114857,0.00548756278776629
287719968.668578,0,0.00963249253840126,-0.0975328042167148,-0.00101476603196652,0.00510195819497253
294421827.677794,0,0.00915231035813274,-0.095106214983775,-0.000919252149125478,0.00474430397291637
